,Date,underlyingPrice,alphas,betas,longRun,estimatedVolatility
20,2024-03-05,168.9070739746094,0.06269603803218074,0.9196469065909473,0.01775782336673284,0.2293798252597532
21,2024-03-06,167.9141693115234,0.06021419364179732,0.9229346309721717,0.01755095594035411,0.22244633517805198
22,2024-03-07,167.7950439453125,0.06008321617648014,0.9231604748365616,0.01751159429822023,0.21648780713340834
23,2024-03-08,169.5126800537109,0.05533438407592205,0.9293498965326993,0.017104721312926247,0.21190255535817848
24,2024-03-11,171.518310546875,0.05299332015761911,0.9323144487995986,0.01690789799886675,0.21038153212099914
25,2024-03-12,171.9948577880859,0.05136974406354387,0.9344634088514595,0.016738021253428145,0.2049954000916116
26,2024-03-13,169.9098510742188,0.04960768362329052,0.9366597219428535,0.016581695567177004,0.20463054975541403
27,2024-03-14,171.7665100097656,0.04745374444520184,0.9393540752671249,0.016377247529000948,0.20309358664969418
28,2024-03-15,171.3892364501953,0.04545148532001904,0.9419520073058383,0.016148207730909254,0.19819943801978568
29,2024-03-18,172.4813842773438,0.046335466173898165,0.9409851338510183,0.016193570421922925,0.19564038167165915
30,2024-03-19,174.8245544433594,0.04603859370876199,0.9413146091400347,0.01617504504818874,0.19741616796129538
31,2024-03-20,177.3961029052734,0.04694359300131982,0.9401790648293163,0.01628528548355174,0.20047453590813485
32,2024-03-21,170.1481475830078,0.04889224379618138,0.9363532559091307,0.0168750113491952,0.2485155474332369
33,2024-03-22,171.0516662597656,0.04897291085358871,0.9362729803999079,0.016865166475512675,0.24337253978169715
34,2024-03-25,169.6318359375,0.04789923988971303,0.9377035958715914,0.016766457894751587,0.2384564345083184
35,2024-03-26,168.4999694824219,0.048190226430622006,0.9374897744031261,0.016795270289845263,0.2343725903209454
36,2024-03-27,172.0743255615234,0.04945527964340557,0.9359890541759767,0.016963337558088397,0.2418089072557576
37,2024-03-28,170.2573547363281,0.04900888730691964,0.936531204666156,0.0169036935305503,0.23872104354280965
38,2024-04-01,168.8176879882812,0.049154153472817694,0.9364921486381377,0.016929937164303632,0.23520040198842618
39,2024-04-02,167.6361694335938,0.048706398331732285,0.9370473599854408,0.016859041367278216,0.23080197164274888
40,2024-04-03,168.4403991699219,0.0488322892474738,0.9370489456436272,0.016879601627789058,0.22628185018173677
